Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QV","Value of Agricultural Production","480","Mauritius","57","Gross Production Value (current thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","407","E","Estimated value"
"QV","Value of Agricultural Production","480","Mauritius","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","232","E","Estimated value"
"QV","Value of Agricultural Production","484","Mexico","57","Gross Production Value (current thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","5397","E","Estimated value"
"QV","Value of Agricultural Production","484","Mexico","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","6299","E","Estimated value"
"QV","Value of Agricultural Production","508","Mozambique","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","1300000","E","Estimated value"
"QV","Value of Agricultural Production","540","New Caledonia","57","Gross Production Value (current thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","1978","E","Estimated value"
"QV","Value of Agricultural Production","540","New Caledonia","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","2236","E","Estimated value"
"QV","Value of Agricultural Production","558","Nicaragua","57","Gross Production Value (current thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","42484","E","Estimated value"
"QV","Value of Agricultural Production","558","Nicaragua","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","39461","E","Estimated value"
"QV","Value of Agricultural Production","562","Niger","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","167538","E","Estimated value"
"QV","Value of Agricultural Production","566","Nigeria","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","8248366","E","Estimated value"
"QV","Value of Agricultural Production","591","Panama","57","Gross Production Value (current thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","5676","E","Estimated value"
"QV","Value of Agricultural Production","591","Panama","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","8584","E","Estimated value"
"QV","Value of Agricultural Production","600","Paraguay","57","Gross Production Value (current thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","144779","E","Estimated value"
"QV","Value of Agricultural Production","600","Paraguay","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","200100","E","Estimated value"
"QV","Value of Agricultural Production","604","Peru","57","Gross Production Value (current thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","260545","E","Estimated value"
"QV","Value of Agricultural Production","604","Peru","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","239600","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","426143","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","349888","E","Estimated value"
"QV","Value of Agricultural Production","630","Puerto Rico","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","94","E","Estimated value"
"QV","Value of Agricultural Production","646","Rwanda","57","Gross Production Value (current thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","266253","E","Estimated value"
"QV","Value of Agricultural Production","646","Rwanda","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","360154","E","Estimated value"
"QV","Value of Agricultural Production","662","Saint Lucia","57","Gross Production Value (current thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","705","E","Estimated value"
"QV","Value of Agricultural Production","662","Saint Lucia","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","3362","E","Estimated value"
"QV","Value of Agricultural Production","670","Saint Vincent and the Grenadines","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","1306","E","Estimated value"
"QV","Value of Agricultural Production","686","Senegal","57","Gross Production Value (current thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","273445","E","Estimated value"
"QV","Value of Agricultural Production","686","Senegal","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","311849","E","Estimated value"
"QV","Value of Agricultural Production","690","Seychelles","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","386","E","Estimated value"
"QV","Value of Agricultural Production","694","Sierra Leone","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","375197","E","Estimated value"
"QV","Value of Agricultural Production","144","Sri Lanka","57","Gross Production Value (current thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","76640","E","Estimated value"
"QV","Value of Agricultural Production","144","Sri Lanka","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","76658","E","Estimated value"
"QV","Value of Agricultural Production","740","Suriname","57","Gross Production Value (current thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","7660","E","Estimated value"
"QV","Value of Agricultural Production","740","Suriname","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","3419","E","Estimated value"
"QV","Value of Agricultural Production","764","Thailand","57","Gross Production Value (current thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","2172262","E","Estimated value"
"QV","Value of Agricultural Production","764","Thailand","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","1891019","E","Estimated value"
"QV","Value of Agricultural Production","626","Timor-Leste","57","Gross Production Value (current thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","19368","E","Estimated value"
"QV","Value of Agricultural Production","626","Timor-Leste","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","14398","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","57","Gross Production Value (current thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","265203","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","225286","E","Estimated value"
"QV","Value of Agricultural Production","780","Trinidad and Tobago","57","Gross Production Value (current thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","876","E","Estimated value"
"QV","Value of Agricultural Production","780","Trinidad and Tobago","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","906","E","Estimated value"
"QV","Value of Agricultural Production","834","United Republic of Tanzania","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","1511032","E","Estimated value"
"QV","Value of Agricultural Production","862","Venezuela (Bolivarian Republic of)","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","397854","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","57","Gross Production Value (current thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","2286820","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","1566930","E","Estimated value"
"QV","Value of Agricultural Production","894","Zambia","57","Gross Production Value (current thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","1108313","E","Estimated value"
"QV","Value of Agricultural Production","894","Zambia","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","2780023","E","Estimated value"
