Domain Code,Domain,Area Code (M49),Area,Indicator Code,Indicator,Sex Code,Sex,Year Code,Year,Element Code,Element,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"OER","Employment Indicators: Rural","031","Azerbaijan","21094","Employment by age, 15 to 24, rural areas","1","Total","2019","2019","6199","Value","3023","Labour force survey","1000 persons","340.94","X","Figure from international organizations","Criteria used to define rural/urban areas: Definition based on administrative area and population size Employment definition: Excluding own-use production workers | Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
"OER","Employment Indicators: Rural","031","Azerbaijan","21095","Employment by age, 25 to 54, rural areas","1","Total","2019","2019","6199","Value","3023","Labour force survey","1000 persons","1870.65","X","Figure from international organizations","Criteria used to define rural/urban areas: Definition based on administrative area and population size Employment definition: Excluding own-use production workers | Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
"OER","Employment Indicators: Rural","031","Azerbaijan","21096","Employment by age, 55 to 64, rural areas","1","Total","2019","2019","6199","Value","3023","Labour force survey","1000 persons","219.69","X","Figure from international organizations","Criteria used to define rural/urban areas: Definition based on administrative area and population size Employment definition: Excluding own-use production workers | Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
"OER","Employment Indicators: Rural","031","Azerbaijan","21092","Employment by age, 65+, rural areas","1","Total","2019","2019","6199","Value","3023","Labour force survey","1000 persons","23.17","X","Figure from international organizations","Criteria used to define rural/urban areas: Definition based on administrative area and population size Employment definition: Excluding own-use production workers | Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
"OER","Employment Indicators: Rural","112","Belarus","21087","Employment by age, total (15+), rural areas","1","Total","2019","2019","6199","Value","3023","Labour force survey","1000 persons","991.65","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Age coverage - maximum age: 74 years old"
"OER","Employment Indicators: Rural","112","Belarus","21094","Employment by age, 15 to 24, rural areas","1","Total","2019","2019","6199","Value","3023","Labour force survey","1000 persons","70.24","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Age coverage - maximum age: 74 years old"
"OER","Employment Indicators: Rural","112","Belarus","21095","Employment by age, 25 to 54, rural areas","1","Total","2019","2019","6199","Value","3023","Labour force survey","1000 persons","750.38","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Age coverage - maximum age: 74 years old"
"OER","Employment Indicators: Rural","112","Belarus","21096","Employment by age, 55 to 64, rural areas","1","Total","2019","2019","6199","Value","3023","Labour force survey","1000 persons","160.12","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Age coverage - maximum age: 74 years old"
"OER","Employment Indicators: Rural","112","Belarus","21092","Employment by age, 65+, rural areas","1","Total","2019","2019","6199","Value","3023","Labour force survey","1000 persons","10.91","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Age coverage - maximum age: 74 years old"
"OER","Employment Indicators: Rural","112","Belarus","21072","Labour force participation rate by age, total (15+), rural areas","1","Total","2019","2019","6199","Value","3023","Labour force survey","1000 persons","69.64","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Age coverage - maximum age: 74 years old"
"OER","Employment Indicators: Rural","112","Belarus","21122","Labour force participation rate by age, 15 to 24, rural areas","1","Total","2019","2019","6199","Value","3023","Labour force survey","1000 persons","43.08","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Age coverage - maximum age: 74 years old"
"OER","Employment Indicators: Rural","112","Belarus","21123","Labour force participation rate by age, 25 to 54, rural areas","1","Total","2019","2019","6199","Value","3023","Labour force survey","1000 persons","92.81","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Age coverage - maximum age: 74 years old"
"OER","Employment Indicators: Rural","112","Belarus","21124","Labour force participation rate by age, 55 to 64, rural areas","1","Total","2019","2019","6199","Value","3023","Labour force survey","1000 persons","52.55","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Age coverage - maximum age: 74 years old"
"OER","Employment Indicators: Rural","112","Belarus","21117","Labour force participation rate by age, 65+, rural areas","1","Total","2019","2019","6199","Value","3023","Labour force survey","1000 persons","7.64","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Age coverage - maximum age: 74 years old"
"OER","Employment Indicators: Rural","056","Belgium","21087","Employment by age, total (15+), rural areas","1","Total","2019","2019","6199","Value","3023","Labour force survey","1000 persons","675.69","X","Figure from international organizations","Repository: Eurostat special tabulation"
"OER","Employment Indicators: Rural","056","Belgium","21094","Employment by age, 15 to 24, rural areas","1","Total","2019","2019","6199","Value","3023","Labour force survey","1000 persons","46.83","X","Figure from international organizations","Repository: Eurostat special tabulation"
"OER","Employment Indicators: Rural","056","Belgium","21095","Employment by age, 25 to 54, rural areas","1","Total","2019","2019","6199","Value","3023","Labour force survey","1000 persons","505.32","X","Figure from international organizations","Repository: Eurostat special tabulation"
"OER","Employment Indicators: Rural","056","Belgium","21096","Employment by age, 55 to 64, rural areas","1","Total","2019","2019","6199","Value","3023","Labour force survey","1000 persons","114.89","X","Figure from international organizations","Repository: Eurostat special tabulation"
"OER","Employment Indicators: Rural","056","Belgium","21092","Employment by age, 65+, rural areas","1","Total","2019","2019","6199","Value","3023","Labour force survey","1000 persons","8.65","X","Figure from international organizations","Repository: Eurostat special tabulation"
"OER","Employment Indicators: Rural","056","Belgium","21072","Labour force participation rate by age, total (15+), rural areas","1","Total","2019","2019","6199","Value","3023","Labour force survey","1000 persons","56.42","X","Figure from international organizations","Repository: Eurostat special tabulation"
"OER","Employment Indicators: Rural","056","Belgium","21122","Labour force participation rate by age, 15 to 24, rural areas","1","Total","2019","2019","6199","Value","3023","Labour force survey","1000 persons","31.8","X","Figure from international organizations","Repository: Eurostat special tabulation"
"OER","Employment Indicators: Rural","056","Belgium","21123","Labour force participation rate by age, 25 to 54, rural areas","1","Total","2019","2019","6199","Value","3023","Labour force survey","1000 persons","88.76","X","Figure from international organizations","Repository: Eurostat special tabulation"
"OER","Employment Indicators: Rural","056","Belgium","21124","Labour force participation rate by age, 55 to 64, rural areas","1","Total","2019","2019","6199","Value","3023","Labour force survey","1000 persons","55.56","X","Figure from international organizations","Repository: Eurostat special tabulation"
"OER","Employment Indicators: Rural","056","Belgium","21117","Labour force participation rate by age, 65+, rural areas","1","Total","2019","2019","6199","Value","3023","Labour force survey","1000 persons","3.15","X","Figure from international organizations","Repository: Eurostat special tabulation"
"OER","Employment Indicators: Rural","084","Belize","21087","Employment by age, total (15+), rural areas","1","Total","2019","2019","6199","Value","3023","Labour force survey","1000 persons","87.11","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","084","Belize","21094","Employment by age, 15 to 24, rural areas","1","Total","2019","2019","6199","Value","3023","Labour force survey","1000 persons","20.95","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","084","Belize","21095","Employment by age, 25 to 54, rural areas","1","Total","2019","2019","6199","Value","3023","Labour force survey","1000 persons","55.94","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","084","Belize","21096","Employment by age, 55 to 64, rural areas","1","Total","2019","2019","6199","Value","3023","Labour force survey","1000 persons","6.97","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","084","Belize","21092","Employment by age, 65+, rural areas","1","Total","2019","2019","6199","Value","3023","Labour force survey","1000 persons","3.25","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","084","Belize","21072","Labour force participation rate by age, total (15+), rural areas","1","Total","2019","2019","6199","Value","3023","Labour force survey","1000 persons","68.73","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","084","Belize","21122","Labour force participation rate by age, 15 to 24, rural areas","1","Total","2019","2019","6199","Value","3023","Labour force survey","1000 persons","55.79","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","084","Belize","21123","Labour force participation rate by age, 25 to 54, rural areas","1","Total","2019","2019","6199","Value","3023","Labour force survey","1000 persons","79.28","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","084","Belize","21124","Labour force participation rate by age, 55 to 64, rural areas","1","Total","2019","2019","6199","Value","3023","Labour force survey","1000 persons","68.27","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","084","Belize","21117","Labour force participation rate by age, 65+, rural areas","1","Total","2019","2019","6199","Value","3023","Labour force survey","1000 persons","42.37","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","068","Bolivia (Plurinational State of)","21087","Employment by age, total (15+), rural areas","1","Total","2019","2019","6199","Value","3021","Household income and expenditure survey","1000 persons","1909.05","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","068","Bolivia (Plurinational State of)","21094","Employment by age, 15 to 24, rural areas","1","Total","2019","2019","6199","Value","3021","Household income and expenditure survey","1000 persons","360.6","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","068","Bolivia (Plurinational State of)","21095","Employment by age, 25 to 54, rural areas","1","Total","2019","2019","6199","Value","3021","Household income and expenditure survey","1000 persons","981.55","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","068","Bolivia (Plurinational State of)","21096","Employment by age, 55 to 64, rural areas","1","Total","2019","2019","6199","Value","3021","Household income and expenditure survey","1000 persons","295.37","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","068","Bolivia (Plurinational State of)","21092","Employment by age, 65+, rural areas","1","Total","2019","2019","6199","Value","3021","Household income and expenditure survey","1000 persons","271.54","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","068","Bolivia (Plurinational State of)","21072","Labour force participation rate by age, total (15+), rural areas","1","Total","2019","2019","6199","Value","3021","Household income and expenditure survey","1000 persons","83.96","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","068","Bolivia (Plurinational State of)","21122","Labour force participation rate by age, 15 to 24, rural areas","1","Total","2019","2019","6199","Value","3021","Household income and expenditure survey","1000 persons","74.82","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","068","Bolivia (Plurinational State of)","21123","Labour force participation rate by age, 25 to 54, rural areas","1","Total","2019","2019","6199","Value","3021","Household income and expenditure survey","1000 persons","89.1","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","068","Bolivia (Plurinational State of)","21124","Labour force participation rate by age, 55 to 64, rural areas","1","Total","2019","2019","6199","Value","3021","Household income and expenditure survey","1000 persons","91.01","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","068","Bolivia (Plurinational State of)","21117","Labour force participation rate by age, 65+, rural areas","1","Total","2019","2019","6199","Value","3021","Household income and expenditure survey","1000 persons","74.33","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","070","Bosnia and Herzegovina","21087","Employment by age, total (15+), rural areas","1","Total","2019","2019","6199","Value","3023","Labour force survey","1000 persons","455.9","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","070","Bosnia and Herzegovina","21094","Employment by age, 15 to 24, rural areas","1","Total","2019","2019","6199","Value","3023","Labour force survey","1000 persons","43.37","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","070","Bosnia and Herzegovina","21095","Employment by age, 25 to 54, rural areas","1","Total","2019","2019","6199","Value","3023","Labour force survey","1000 persons","280.64","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","070","Bosnia and Herzegovina","21096","Employment by age, 55 to 64, rural areas","1","Total","2019","2019","6199","Value","3023","Labour force survey","1000 persons","97.3","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","070","Bosnia and Herzegovina","21092","Employment by age, 65+, rural areas","1","Total","2019","2019","6199","Value","3023","Labour force survey","1000 persons","34.59","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","070","Bosnia and Herzegovina","21072","Labour force participation rate by age, total (15+), rural areas","1","Total","2019","2019","6199","Value","3023","Labour force survey","1000 persons","40.55","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","070","Bosnia and Herzegovina","21122","Labour force participation rate by age, 15 to 24, rural areas","1","Total","2019","2019","6199","Value","3023","Labour force survey","1000 persons","37.81","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","070","Bosnia and Herzegovina","21123","Labour force participation rate by age, 25 to 54, rural areas","1","Total","2019","2019","6199","Value","3023","Labour force survey","1000 persons","64.76","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","070","Bosnia and Herzegovina","21124","Labour force participation rate by age, 55 to 64, rural areas","1","Total","2019","2019","6199","Value","3023","Labour force survey","1000 persons","37.41","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","070","Bosnia and Herzegovina","21117","Labour force participation rate by age, 65+, rural areas","1","Total","2019","2019","6199","Value","3023","Labour force survey","1000 persons","9.77","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","076","Brazil","21087","Employment by age, total (15+), rural areas","1","Total","2019","2019","6199","Value","3022","Household survey","1000 persons","10852.55","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","076","Brazil","21094","Employment by age, 15 to 24, rural areas","1","Total","2019","2019","6199","Value","3022","Household survey","1000 persons","1808.08","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","076","Brazil","21095","Employment by age, 25 to 54, rural areas","1","Total","2019","2019","6199","Value","3022","Household survey","1000 persons","7397.77","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","076","Brazil","21096","Employment by age, 55 to 64, rural areas","1","Total","2019","2019","6199","Value","3022","Household survey","1000 persons","1194.2","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","076","Brazil","21092","Employment by age, 65+, rural areas","1","Total","2019","2019","6199","Value","3022","Household survey","1000 persons","452.5","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","076","Brazil","21072","Labour force participation rate by age, total (15+), rural areas","1","Total","2019","2019","6199","Value","3022","Household survey","1000 persons","53.68","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","076","Brazil","21122","Labour force participation rate by age, 15 to 24, rural areas","1","Total","2019","2019","6199","Value","3022","Household survey","1000 persons","46.15","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","076","Brazil","21123","Labour force participation rate by age, 25 to 54, rural areas","1","Total","2019","2019","6199","Value","3022","Household survey","1000 persons","67.48","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","076","Brazil","21124","Labour force participation rate by age, 55 to 64, rural areas","1","Total","2019","2019","6199","Value","3022","Household survey","1000 persons","45.3","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","076","Brazil","21117","Labour force participation rate by age, 65+, rural areas","1","Total","2019","2019","6199","Value","3022","Household survey","1000 persons","16.33","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","096","Brunei Darussalam","21087","Employment by age, total (15+), rural areas","1","Total","2019","2019","6199","Value","3023","Labour force survey","1000 persons","49.37","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","096","Brunei Darussalam","21094","Employment by age, 15 to 24, rural areas","1","Total","2019","2019","6199","Value","3023","Labour force survey","1000 persons","5.74","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","096","Brunei Darussalam","21095","Employment by age, 25 to 54, rural areas","1","Total","2019","2019","6199","Value","3023","Labour force survey","1000 persons","38.26","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","096","Brunei Darussalam","21096","Employment by age, 55 to 64, rural areas","1","Total","2019","2019","6199","Value","3023","Labour force survey","1000 persons","4.04","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","096","Brunei Darussalam","21092","Employment by age, 65+, rural areas","1","Total","2019","2019","6199","Value","3023","Labour force survey","1000 persons","1.33","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","096","Brunei Darussalam","21072","Labour force participation rate by age, total (15+), rural areas","1","Total","2019","2019","6199","Value","3023","Labour force survey","1000 persons","60.09","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","096","Brunei Darussalam","21122","Labour force participation rate by age, 15 to 24, rural areas","1","Total","2019","2019","6199","Value","3023","Labour force survey","1000 persons","39.89","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","096","Brunei Darussalam","21123","Labour force participation rate by age, 25 to 54, rural areas","1","Total","2019","2019","6199","Value","3023","Labour force survey","1000 persons","81.66","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","096","Brunei Darussalam","21124","Labour force participation rate by age, 55 to 64, rural areas","1","Total","2019","2019","6199","Value","3023","Labour force survey","1000 persons","35.05","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","096","Brunei Darussalam","21117","Labour force participation rate by age, 65+, rural areas","1","Total","2019","2019","6199","Value","3023","Labour force survey","1000 persons","14.56","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OER","Employment Indicators: Rural","100","Bulgaria","21087","Employment by age, total (15+), rural areas","1","Total","2019","2019","6199","Value","3023","Labour force survey","1000 persons","783.35","X","Figure from international organizations","Repository: Eurostat special tabulation"
"OER","Employment Indicators: Rural","100","Bulgaria","21094","Employment by age, 15 to 24, rural areas","1","Total","2019","2019","6199","Value","3023","Labour force survey","1000 persons","42.08","X","Figure from international organizations","Repository: Eurostat special tabulation"
"OER","Employment Indicators: Rural","100","Bulgaria","21095","Employment by age, 25 to 54, rural areas","1","Total","2019","2019","6199","Value","3023","Labour force survey","1000 persons","553.5","X","Figure from international organizations","Repository: Eurostat special tabulation"
"OER","Employment Indicators: Rural","100","Bulgaria","21096","Employment by age, 55 to 64, rural areas","1","Total","2019","2019","6199","Value","3023","Labour force survey","1000 persons","162.44","X","Figure from international organizations","Repository: Eurostat special tabulation"
"OER","Employment Indicators: Rural","100","Bulgaria","21092","Employment by age, 65+, rural areas","1","Total","2019","2019","6199","Value","3023","Labour force survey","1000 persons","25.33","X","Figure from international organizations","Repository: Eurostat special tabulation"
